Ingredient,Concerns
Salicylic Acid,"['Acne', 'Pores', 'Blemishes']"
Hyaluronic Acid,"['Hydration', 'Wrinkles', 'Clear Skin']"
Niacinamide,"['Acne', 'Pores', 'Pigmentation']"
Retinol,"['Wrinkles', 'Pigmentation', 'Blemishes']"
Vitamin C,"['Pigmentation', 'Clear Skin', 'Wrinkles']"
Glycolic Acid,"['Acne', 'Wrinkles', 'Pores']"
Lactic Acid,"['Hydration', 'Wrinkles', 'Blemishes']"
Benzoyl Peroxide,"['Acne', 'Blemishes']"
Azelaic Acid,"['Acne', 'Pigmentation', 'Blemishes']"
Ceramides,"['Hydration', 'Clear Skin']"
Centella Asiatica,"['Blemishes', 'Hydration']"
Peptides,"['Wrinkles', 'Clear Skin']"
Tea Tree Oil,"['Acne', 'Pores']"
Zinc Oxide,"['Pigmentation', 'Blemishes']"
Licorice Extract,"['Pigmentation', 'Clear Skin']"
Kojic Acid,"['Pigmentation', 'Blemishes']"
Rosehip Oil,"['Wrinkles', 'Hydration']"
Argan Oil,"['Hydration', 'Wrinkles']"
Bakuchiol,"['Wrinkles', 'Pigmentation']"
Aloe Vera,"['Hydration', 'Blemishes']"
Green Tea Extract,"['Pores', 'Clear Skin']"
Beta Glucan,"['Hydration', 'Wrinkles']"
Willow Bark Extract,"['Pores', 'Blemishes']"
Squalane,"['Hydration', 'Clear Skin']"
